IP:PORT, LOSS, DELAY
162.159.192.154:3854,0.00%,121 ms
162.159.192.17:3854,0.00%,121 ms
162.159.195.129:3854,0.00%,121 ms
162.159.195.244:891,0.00%,122 ms
188.114.96.210:891,0.00%,123 ms
188.114.96.54:891,0.00%,127 ms
162.159.195.36:891,0.00%,127 ms
188.114.97.162:3854,0.00%,128 ms
188.114.96.38:3854,0.00%,128 ms
162.159.195.115:891,0.00%,128 ms
188.114.98.54:3854,0.00%,128 ms
162.159.192.157:3854,0.00%,129 ms
162.159.195.253:3854,0.00%,130 ms
162.159.195.246:891,0.00%,130 ms
162.159.192.17:891,0.00%,130 ms
162.159.192.169:3854,0.00%,130 ms
188.114.99.34:891,0.00%,131 ms
188.114.98.249:891,0.00%,131 ms
162.159.192.68:3854,0.00%,131 ms
162.159.195.244:3854,0.00%,131 ms
188.114.99.15:3854,0.00%,131 ms
188.114.98.54:891,0.00%,131 ms
188.114.98.187:891,0.00%,131 ms
162.159.195.253:891,0.00%,131 ms
188.114.98.38:891,0.00%,131 ms
188.114.96.105:3854,0.00%,131 ms
188.114.96.118:3854,0.00%,131 ms
162.159.195.36:3854,0.00%,131 ms
162.159.192.169:891,0.00%,132 ms
188.114.96.72:3854,0.00%,132 ms
188.114.96.118:891,0.00%,132 ms
162.159.195.196:891,0.00%,132 ms
188.114.97.25:891,0.00%,132 ms
162.159.195.246:3854,0.00%,132 ms
162.159.195.11:891,0.00%,133 ms
162.159.195.196:3854,0.00%,133 ms
188.114.96.105:891,0.00%,133 ms
162.159.195.129:891,0.00%,133 ms
162.159.192.64:3854,0.00%,133 ms
188.114.97.245:3854,0.00%,133 ms
188.114.97.7:891,0.00%,134 ms
188.114.96.54:3854,0.00%,134 ms
188.114.96.38:891,0.00%,135 ms
188.114.96.188:3854,0.00%,135 ms
188.114.97.7:3854,0.00%,135 ms
188.114.99.185:891,0.00%,135 ms
188.114.96.72:891,0.00%,135 ms
162.159.195.102:3854,0.00%,135 ms
162.159.195.102:891,0.00%,136 ms
188.114.97.162:891,0.00%,136 ms
162.159.195.115:3854,0.00%,136 ms
188.114.97.78:3854,0.00%,136 ms
188.114.97.78:891,0.00%,137 ms
188.114.98.249:3854,0.00%,137 ms
188.114.98.38:3854,0.00%,137 ms
188.114.98.5:891,0.00%,137 ms
188.114.97.245:891,0.00%,137 ms
188.114.97.25:3854,0.00%,137 ms
188.114.99.122:891,0.00%,139 ms
188.114.99.185:3854,0.00%,140 ms
188.114.98.91:891,0.00%,140 ms
188.114.99.59:891,0.00%,140 ms
188.114.98.35:3854,0.00%,140 ms
162.159.195.11:3854,0.00%,141 ms
188.114.98.91:3854,0.00%,141 ms
188.114.98.5:3854,0.00%,141 ms
188.114.98.35:891,0.00%,141 ms
188.114.99.34:3854,0.00%,142 ms
188.114.99.59:3854,0.00%,142 ms
188.114.99.122:3854,0.00%,142 ms
188.114.98.187:3854,0.00%,142 ms
188.114.96.210:3854,10.00%,210 ms
188.114.96.188:891,10.00%,211 ms
162.159.192.157:891,10.00%,215 ms
162.159.192.154:891,10.00%,215 ms
162.159.192.68:891,10.00%,218 ms
162.159.192.64:891,10.00%,219 ms
188.114.99.15:891,10.00%,227 ms
162.159.192.226:891,50.00%,562 ms
162.159.192.131:891,50.00%,563 ms
162.159.192.131:3854,50.00%,563 ms
162.159.195.173:3854,50.00%,564 ms
162.159.195.170:3854,50.00%,564 ms
162.159.192.16:891,50.00%,564 ms
188.114.96.169:3854,50.00%,564 ms
162.159.195.170:891,50.00%,565 ms
188.114.96.172:891,50.00%,565 ms
162.159.192.173:891,50.00%,565 ms
162.159.192.16:3854,50.00%,565 ms
162.159.192.166:3854,50.00%,565 ms
162.159.195.169:891,50.00%,566 ms
162.159.192.202:891,50.00%,566 ms
162.159.192.109:3854,50.00%,566 ms
162.159.195.169:3854,50.00%,566 ms
162.159.195.182:891,50.00%,566 ms
188.114.96.169:891,50.00%,566 ms
162.159.192.109:891,50.00%,566 ms
188.114.97.146:891,50.00%,566 ms
188.114.96.84:3854,50.00%,566 ms
162.159.195.182:3854,50.00%,566 ms
162.159.195.173:891,50.00%,566 ms
162.159.192.57:891,50.00%,567 ms
188.114.97.168:3854,50.00%,567 ms
188.114.97.239:3854,50.00%,567 ms
162.159.192.173:3854,50.00%,567 ms
162.159.192.202:3854,50.00%,567 ms
162.159.192.166:891,50.00%,567 ms
162.159.192.226:3854,50.00%,568 ms
162.159.192.3:891,50.00%,568 ms
162.159.195.57:891,50.00%,568 ms
162.159.192.57:3854,50.00%,568 ms
162.159.195.57:3854,50.00%,568 ms
188.114.98.2:891,50.00%,568 ms
188.114.97.31:3854,50.00%,568 ms
188.114.97.0:3854,50.00%,568 ms
162.159.192.87:891,50.00%,568 ms
162.159.192.3:3854,50.00%,569 ms
188.114.97.148:3854,50.00%,569 ms
162.159.192.87:3854,50.00%,569 ms
188.114.96.115:3854,50.00%,569 ms
188.114.96.84:891,50.00%,569 ms
188.114.96.172:3854,50.00%,570 ms
188.114.97.108:891,50.00%,570 ms
188.114.97.108:3854,50.00%,570 ms
188.114.97.215:3854,50.00%,570 ms
188.114.96.115:891,50.00%,570 ms
188.114.96.223:891,50.00%,570 ms
188.114.96.223:3854,50.00%,570 ms
188.114.97.36:891,50.00%,571 ms
188.114.97.168:891,50.00%,571 ms
188.114.97.146:3854,50.00%,571 ms
162.159.195.10:891,50.00%,571 ms
188.114.97.215:891,50.00%,571 ms
188.114.97.0:891,50.00%,572 ms
188.114.99.139:891,50.00%,572 ms
188.114.97.31:891,50.00%,572 ms
188.114.97.36:3854,50.00%,572 ms
188.114.97.239:891,50.00%,572 ms
188.114.99.244:3854,50.00%,572 ms
188.114.98.2:3854,50.00%,572 ms
188.114.97.148:891,50.00%,573 ms
188.114.98.218:891,50.00%,573 ms
188.114.98.100:3854,50.00%,573 ms
188.114.99.172:3854,50.00%,573 ms
188.114.99.119:891,50.00%,573 ms
188.114.98.235:3854,50.00%,574 ms
188.114.98.100:891,50.00%,574 ms
188.114.98.235:891,50.00%,574 ms
188.114.99.2:891,50.00%,574 ms
188.114.98.218:3854,50.00%,574 ms
