IP:PORT, LOSS, DELAY
162.159.192.113:945,0.00%,116 ms
162.159.192.143:1074,0.00%,116 ms
162.159.192.5:945,0.00%,117 ms
162.159.192.42:945,0.00%,117 ms
188.114.96.183:1074,0.00%,117 ms
162.159.192.170:1074,0.00%,118 ms
162.159.192.175:945,0.00%,118 ms
188.114.97.178:1074,0.00%,118 ms
188.114.97.208:945,0.00%,120 ms
162.159.195.100:945,0.00%,121 ms
162.159.195.174:1074,0.00%,121 ms
188.114.97.98:945,0.00%,121 ms
188.114.96.231:1074,0.00%,121 ms
162.159.192.150:1074,0.00%,121 ms
162.159.195.151:945,0.00%,121 ms
162.159.192.150:945,0.00%,121 ms
188.114.98.144:945,0.00%,121 ms
162.159.195.201:945,0.00%,121 ms
162.159.192.170:945,0.00%,121 ms
162.159.192.70:1074,0.00%,122 ms
188.114.97.208:1074,0.00%,123 ms
188.114.97.178:945,0.00%,123 ms
188.114.96.148:945,0.00%,124 ms
162.159.195.201:1074,0.00%,125 ms
162.159.195.211:1074,0.00%,125 ms
188.114.97.26:1074,0.00%,125 ms
188.114.99.95:945,0.00%,125 ms
188.114.97.98:1074,0.00%,125 ms
162.159.192.42:1074,0.00%,125 ms
188.114.99.124:1074,0.00%,126 ms
188.114.97.26:945,0.00%,126 ms
162.159.195.100:1074,0.00%,126 ms
162.159.195.211:945,0.00%,126 ms
188.114.97.84:1074,0.00%,126 ms
188.114.97.84:945,0.00%,126 ms
162.159.195.174:945,0.00%,126 ms
188.114.98.179:945,0.00%,126 ms
162.159.195.151:1074,0.00%,126 ms
188.114.98.179:1074,0.00%,126 ms
188.114.98.251:945,0.00%,126 ms
188.114.98.251:1074,0.00%,126 ms
162.159.195.86:1074,0.00%,127 ms
162.159.195.73:1074,0.00%,127 ms
162.159.195.73:945,0.00%,127 ms
162.159.195.86:945,0.00%,128 ms
188.114.99.32:1074,0.00%,129 ms
188.114.99.95:1074,0.00%,130 ms
188.114.99.32:945,0.00%,131 ms
188.114.99.124:945,0.00%,131 ms
188.114.99.248:1074,0.00%,131 ms
188.114.99.100:1074,0.00%,131 ms
188.114.99.100:945,0.00%,131 ms
188.114.99.134:1074,0.00%,131 ms
188.114.99.113:945,10.00%,202 ms
188.114.98.6:945,10.00%,203 ms
162.159.192.160:1074,10.00%,203 ms
162.159.192.160:945,10.00%,203 ms
188.114.96.183:945,10.00%,203 ms
162.159.192.143:945,10.00%,203 ms
188.114.96.231:945,10.00%,204 ms
188.114.99.134:945,10.00%,204 ms
162.159.192.113:1074,10.00%,207 ms
188.114.96.148:1074,10.00%,208 ms
162.159.192.175:1074,10.00%,209 ms
162.159.192.70:945,10.00%,209 ms
162.159.192.5:1074,10.00%,209 ms
188.114.99.113:1074,10.00%,213 ms
188.114.98.144:1074,10.00%,215 ms
188.114.98.6:1074,10.00%,215 ms
188.114.99.248:945,10.00%,216 ms
162.159.192.11:945,50.00%,557 ms
162.159.192.11:1074,50.00%,559 ms
162.159.192.110:1074,50.00%,559 ms
162.159.192.103:945,50.00%,560 ms
162.159.192.23:1074,50.00%,560 ms
188.114.97.108:945,50.00%,560 ms
188.114.96.74:945,50.00%,560 ms
188.114.96.63:1074,50.00%,561 ms
188.114.97.155:1074,50.00%,561 ms
162.159.192.239:1074,50.00%,561 ms
162.159.192.239:945,50.00%,561 ms
162.159.192.23:945,50.00%,561 ms
188.114.96.164:1074,50.00%,562 ms
188.114.97.132:945,50.00%,562 ms
188.114.97.108:1074,50.00%,562 ms
162.159.192.103:1074,50.00%,562 ms
188.114.96.63:945,50.00%,562 ms
188.114.96.242:1074,50.00%,562 ms
188.114.97.24:945,50.00%,562 ms
162.159.192.110:945,50.00%,562 ms
188.114.97.214:1074,50.00%,562 ms
188.114.97.24:1074,50.00%,563 ms
188.114.96.242:945,50.00%,563 ms
188.114.97.112:945,50.00%,563 ms
188.114.97.132:1074,50.00%,563 ms
162.159.192.88:1074,50.00%,563 ms
188.114.97.112:1074,50.00%,563 ms
162.159.192.88:945,50.00%,563 ms
188.114.96.74:1074,50.00%,563 ms
188.114.97.155:945,50.00%,563 ms
188.114.97.214:945,50.00%,563 ms
188.114.98.154:1074,50.00%,564 ms
162.159.192.3:1074,50.00%,564 ms
162.159.192.3:945,50.00%,564 ms
188.114.98.154:945,50.00%,565 ms
162.159.195.155:1074,50.00%,565 ms
188.114.97.76:1074,50.00%,565 ms
162.159.195.101:945,50.00%,565 ms
188.114.98.170:1074,50.00%,565 ms
162.159.195.242:945,50.00%,565 ms
188.114.98.255:945,50.00%,565 ms
188.114.97.88:1074,50.00%,566 ms
188.114.97.88:945,50.00%,566 ms
188.114.97.76:945,50.00%,566 ms
188.114.98.255:1074,50.00%,566 ms
188.114.96.12:945,50.00%,566 ms
162.159.195.45:1074,50.00%,566 ms
162.159.195.101:1074,50.00%,566 ms
188.114.98.4:1074,50.00%,567 ms
162.159.195.207:945,50.00%,567 ms
162.159.195.155:945,50.00%,567 ms
188.114.96.13:945,50.00%,567 ms
188.114.98.46:1074,50.00%,567 ms
188.114.96.143:945,50.00%,567 ms
188.114.98.170:945,50.00%,567 ms
162.159.195.207:1074,50.00%,567 ms
162.159.195.242:1074,50.00%,567 ms
162.159.195.245:945,50.00%,568 ms
188.114.96.133:1074,50.00%,568 ms
188.114.96.133:945,50.00%,568 ms
188.114.98.54:945,50.00%,568 ms
162.159.195.45:945,50.00%,568 ms
162.159.195.245:1074,50.00%,568 ms
188.114.98.250:1074,50.00%,568 ms
162.159.195.66:945,50.00%,568 ms
188.114.98.185:1074,50.00%,568 ms
188.114.98.185:945,50.00%,568 ms
188.114.98.96:945,50.00%,568 ms
188.114.96.131:945,50.00%,569 ms
162.159.195.66:1074,50.00%,569 ms
188.114.96.164:945,50.00%,569 ms
188.114.99.210:945,50.00%,569 ms
188.114.99.210:1074,50.00%,569 ms
188.114.99.230:945,50.00%,569 ms
188.114.98.28:1074,50.00%,569 ms
188.114.98.46:945,50.00%,569 ms
188.114.98.4:945,50.00%,569 ms
188.114.98.28:945,50.00%,569 ms
188.114.96.131:1074,50.00%,569 ms
188.114.98.250:945,50.00%,569 ms
188.114.99.230:1074,50.00%,569 ms
188.114.96.132:1074,50.00%,569 ms
188.114.96.132:945,50.00%,570 ms
188.114.98.54:1074,50.00%,570 ms
188.114.96.143:1074,50.00%,570 ms
188.114.96.12:1074,50.00%,570 ms
188.114.96.13:1074,50.00%,570 ms
188.114.99.114:1074,50.00%,570 ms
