IP:PORT, LOSS, DELAY
188.114.97.36:1010,0.00%,119 ms
188.114.97.32:4198,0.00%,120 ms
188.114.97.192:1070,0.00%,120 ms
188.114.97.32:1010,0.00%,120 ms
188.114.97.185:1070,0.00%,121 ms
188.114.97.182:908,0.00%,121 ms
188.114.97.169:3581,0.00%,122 ms
188.114.97.122:946,0.00%,122 ms
188.114.97.121:946,0.00%,123 ms
188.114.97.185:908,0.00%,123 ms
188.114.97.223:1070,0.00%,123 ms
188.114.97.183:908,0.00%,124 ms
188.114.97.192:908,0.00%,124 ms
188.114.97.182:1070,0.00%,124 ms
188.114.97.169:946,0.00%,125 ms
188.114.97.183:1070,0.00%,125 ms
188.114.97.218:908,0.00%,125 ms
188.114.99.57:1387,0.00%,126 ms
188.114.97.218:1070,0.00%,126 ms
188.114.99.9:1387,0.00%,126 ms
188.114.99.71:1074,0.00%,126 ms
188.114.97.216:908,0.00%,126 ms
188.114.99.63:1074,0.00%,126 ms
188.114.99.68:1074,0.00%,126 ms
188.114.99.71:1387,0.00%,127 ms
188.114.97.147:946,0.00%,127 ms
188.114.99.61:1074,0.00%,127 ms
188.114.99.60:1074,0.00%,127 ms
188.114.97.143:946,0.00%,127 ms
188.114.97.126:946,0.00%,128 ms
188.114.96.92:946,0.00%,128 ms
188.114.97.147:3581,0.00%,128 ms
188.114.96.93:946,0.00%,128 ms
188.114.99.229:1074,0.00%,128 ms
188.114.96.93:3581,0.00%,128 ms
188.114.97.152:946,0.00%,128 ms
188.114.97.164:946,0.00%,128 ms
188.114.96.99:3581,0.00%,128 ms
188.114.99.23:1387,0.00%,128 ms
188.114.97.152:3581,0.00%,129 ms
188.114.97.126:3581,0.00%,129 ms
188.114.97.40:4198,0.00%,129 ms
188.114.97.143:3581,0.00%,129 ms
188.114.96.92:3581,0.00%,129 ms
188.114.99.57:1074,0.00%,129 ms
188.114.99.251:1387,0.00%,130 ms
188.114.97.150:946,0.00%,130 ms
188.114.99.63:1387,0.00%,130 ms
188.114.97.40:1010,0.00%,130 ms
188.114.97.150:3581,0.00%,130 ms
188.114.96.84:987,0.00%,131 ms
188.114.99.3:1074,0.00%,131 ms
188.114.99.68:1387,0.00%,132 ms
188.114.97.4:1010,0.00%,133 ms
188.114.99.48:1074,0.00%,133 ms
188.114.97.136:946,0.00%,133 ms
188.114.99.239:1074,0.00%,133 ms
188.114.99.48:1387,0.00%,133 ms
188.114.99.92:1387,0.00%,134 ms
188.114.99.235:1074,0.00%,134 ms
188.114.99.239:1387,0.00%,134 ms
188.114.96.84:7156,0.00%,134 ms
188.114.99.235:1387,0.00%,135 ms
188.114.99.251:1074,0.00%,135 ms
188.114.97.164:3581,0.00%,137 ms
188.114.99.216:1074,0.00%,138 ms
188.114.96.39:7156,0.00%,141 ms
188.114.96.211:987,0.00%,144 ms
188.114.96.254:7156,0.00%,145 ms
188.114.96.254:987,0.00%,145 ms
188.114.96.28:7156,0.00%,145 ms
188.114.96.39:987,0.00%,145 ms
188.114.99.203:891,0.00%,148 ms
188.114.96.203:3476,0.00%,149 ms
188.114.99.207:891,0.00%,153 ms
188.114.97.50:4198,0.00%,156 ms
188.114.99.128:4177,0.00%,159 ms
188.114.97.64:4177,0.00%,159 ms
188.114.99.101:908,0.00%,160 ms
188.114.98.129:4177,0.00%,164 ms
188.114.98.64:908,0.00%,164 ms
188.114.98.64:4177,0.00%,165 ms
188.114.98.206:908,0.00%,165 ms
188.114.99.149:908,0.00%,165 ms
188.114.98.81:4177,0.00%,166 ms
188.114.98.22:908,0.00%,166 ms
188.114.98.129:908,0.00%,166 ms
188.114.98.40:908,0.00%,166 ms
188.114.99.164:908,0.00%,167 ms
188.114.99.158:908,0.00%,168 ms
188.114.97.90:908,0.00%,168 ms
188.114.99.154:908,0.00%,168 ms
188.114.98.200:4177,0.00%,168 ms
188.114.99.155:4177,0.00%,168 ms
188.114.98.153:4177,0.00%,168 ms
188.114.99.119:4177,0.00%,169 ms
188.114.99.113:908,0.00%,169 ms
188.114.99.101:4177,0.00%,169 ms
188.114.99.154:4177,0.00%,169 ms
188.114.99.153:908,0.00%,170 ms
188.114.98.119:4177,0.00%,170 ms
188.114.99.155:908,0.00%,170 ms
188.114.98.156:4177,0.00%,170 ms
188.114.98.200:908,0.00%,170 ms
188.114.98.40:4177,0.00%,170 ms
188.114.99.153:4177,0.00%,170 ms
188.114.99.149:4177,0.00%,170 ms
188.114.98.2:908,0.00%,170 ms
188.114.98.206:4177,0.00%,171 ms
188.114.99.128:908,0.00%,171 ms
188.114.99.104:908,0.00%,171 ms
188.114.99.119:908,0.00%,171 ms
188.114.99.104:4177,0.00%,172 ms
188.114.97.84:908,0.00%,172 ms
188.114.99.164:4177,0.00%,172 ms
188.114.99.158:4177,0.00%,172 ms
188.114.99.10:4177,0.00%,172 ms
188.114.98.156:908,0.00%,172 ms
188.114.98.149:908,0.00%,173 ms
188.114.98.142:908,0.00%,174 ms
188.114.98.142:4177,0.00%,174 ms
188.114.98.149:4177,0.00%,174 ms
188.114.98.153:908,0.00%,174 ms
188.114.98.63:908,0.00%,182 ms
188.114.98.63:4177,0.00%,183 ms
162.159.192.25:1070,0.00%,290 ms
162.159.192.85:3476,0.00%,291 ms
162.159.192.26:1070,0.00%,291 ms
162.159.192.85:1070,0.00%,291 ms
162.159.192.78:3476,0.00%,291 ms
162.159.195.171:1070,0.00%,294 ms
162.159.195.133:1070,0.00%,295 ms
162.159.195.157:1070,0.00%,295 ms
162.159.195.157:3476,0.00%,295 ms
162.159.195.213:3476,0.00%,295 ms
162.159.195.214:3476,0.00%,295 ms
162.159.195.214:1070,0.00%,295 ms
162.159.195.194:3476,0.00%,295 ms
162.159.195.222:3476,0.00%,295 ms
162.159.195.203:3476,0.00%,295 ms
188.114.96.191:1070,0.00%,295 ms
162.159.192.63:3476,0.00%,296 ms
162.159.195.177:1070,0.00%,296 ms
162.159.192.95:1070,0.00%,296 ms
162.159.192.71:1070,0.00%,296 ms
162.159.195.190:3476,0.00%,296 ms
162.159.192.78:1070,0.00%,296 ms
162.159.192.71:3476,0.00%,296 ms
162.159.195.188:3476,0.00%,296 ms
162.159.192.68:3476,0.00%,296 ms
162.159.195.133:3476,0.00%,296 ms
162.159.192.171:3476,0.00%,296 ms
162.159.195.100:3476,0.00%,296 ms
162.159.195.29:3476,0.00%,302 ms
162.159.195.30:1070,0.00%,302 ms
162.159.195.218:1070,0.00%,303 ms
162.159.195.234:1070,0.00%,303 ms
162.159.195.222:1070,0.00%,303 ms
162.159.195.85:3476,0.00%,303 ms
162.159.195.58:3476,0.00%,303 ms
162.159.195.213:1070,0.00%,303 ms
162.159.195.202:1070,0.00%,303 ms
162.159.195.58:1070,0.00%,303 ms
162.159.195.218:3476,0.00%,303 ms
162.159.195.32:1070,0.00%,303 ms
162.159.195.188:1070,0.00%,303 ms
162.159.195.234:3476,0.00%,303 ms
162.159.195.85:1070,0.00%,303 ms
188.114.96.117:3476,0.00%,303 ms
188.114.96.1:3476,0.00%,303 ms
162.159.195.194:1070,0.00%,304 ms
162.159.195.250:1070,0.00%,304 ms
188.114.96.191:3476,0.00%,304 ms
188.114.96.1:1070,0.00%,304 ms
162.159.195.29:1070,0.00%,304 ms
162.159.195.4:3476,0.00%,304 ms
188.114.96.117:1070,0.00%,304 ms
162.159.195.30:3476,0.00%,304 ms
162.159.195.57:1070,0.00%,304 ms
162.159.195.63:3476,0.00%,305 ms
162.159.195.32:3476,0.00%,305 ms
162.159.195.4:1070,0.00%,305 ms
162.159.195.63:1070,0.00%,305 ms
162.159.195.57:3476,0.00%,305 ms
188.114.99.244:1387,10.00%,203 ms
188.114.99.242:1074,10.00%,204 ms
188.114.99.24:1074,10.00%,204 ms
188.114.99.225:1387,10.00%,204 ms
188.114.99.92:1074,10.00%,204 ms
188.114.99.61:1387,10.00%,208 ms
188.114.99.9:1074,10.00%,208 ms
188.114.97.216:1070,10.00%,209 ms
188.114.99.216:891,10.00%,209 ms
188.114.97.122:3581,10.00%,210 ms
188.114.97.107:3581,10.00%,211 ms
188.114.99.225:1074,10.00%,212 ms
188.114.99.24:1387,10.00%,212 ms
188.114.97.136:3581,10.00%,212 ms
188.114.99.23:1074,10.00%,212 ms
188.114.97.4:4198,10.00%,212 ms
188.114.97.107:946,10.00%,213 ms
188.114.99.208:1074,10.00%,213 ms
188.114.96.99:946,10.00%,215 ms
188.114.96.211:7156,10.00%,216 ms
188.114.97.223:908,10.00%,219 ms
188.114.99.229:1387,10.00%,219 ms
188.114.99.3:1387,10.00%,219 ms
188.114.96.28:987,10.00%,219 ms
188.114.99.244:1074,10.00%,220 ms
188.114.99.60:1387,10.00%,221 ms
188.114.97.83:4177,10.00%,222 ms
188.114.98.119:908,10.00%,225 ms
188.114.99.208:891,10.00%,229 ms
188.114.97.50:1010,10.00%,233 ms
188.114.97.84:4177,10.00%,234 ms
188.114.97.61:908,10.00%,236 ms
188.114.99.202:1074,10.00%,236 ms
188.114.96.203:1070,10.00%,236 ms
188.114.98.81:908,10.00%,236 ms
188.114.97.61:4177,10.00%,236 ms
188.114.97.64:908,10.00%,237 ms
188.114.99.20:891,10.00%,238 ms
188.114.97.83:908,10.00%,239 ms
188.114.97.68:4177,10.00%,240 ms
188.114.99.191:891,10.00%,242 ms
188.114.98.127:4177,10.00%,243 ms
188.114.97.36:4198,10.00%,243 ms
188.114.99.10:908,10.00%,243 ms
188.114.99.202:891,10.00%,244 ms
188.114.99.180:4177,10.00%,245 ms
