IP:PORT, LOSS, DELAY
188.114.96.210:928,0.00%,122 ms
188.114.97.48:987,0.00%,125 ms
188.114.99.90:4198,0.00%,126 ms
188.114.96.7:1010,0.00%,126 ms
188.114.96.55:988,0.00%,127 ms
188.114.99.90:942,0.00%,128 ms
188.114.97.48:943,0.00%,130 ms
188.114.97.194:854,0.00%,130 ms
188.114.97.229:894,0.00%,131 ms
188.114.97.244:854,0.00%,131 ms
188.114.96.22:928,0.00%,132 ms
188.114.97.247:894,0.00%,132 ms
188.114.97.237:894,0.00%,132 ms
188.114.96.93:1010,0.00%,133 ms
188.114.97.240:894,0.00%,133 ms
188.114.97.142:4233,0.00%,133 ms
188.114.97.220:854,0.00%,134 ms
188.114.97.237:854,0.00%,134 ms
188.114.97.238:894,0.00%,134 ms
188.114.97.103:1010,0.00%,135 ms
188.114.97.255:894,0.00%,135 ms
188.114.96.7:4233,0.00%,135 ms
188.114.96.251:928,0.00%,135 ms
188.114.96.24:988,0.00%,136 ms
188.114.97.101:1010,0.00%,136 ms
188.114.97.101:4233,0.00%,136 ms
188.114.96.61:988,0.00%,136 ms
188.114.99.98:1180,0.00%,136 ms
188.114.96.29:928,0.00%,137 ms
188.114.96.251:988,0.00%,137 ms
188.114.97.170:854,0.00%,138 ms
188.114.97.255:854,0.00%,138 ms
188.114.97.142:1010,0.00%,138 ms
188.114.97.170:894,0.00%,139 ms
188.114.96.243:928,0.00%,139 ms
188.114.97.153:4233,0.00%,139 ms
188.114.97.222:854,0.00%,140 ms
188.114.97.176:854,0.00%,140 ms
188.114.96.55:928,0.00%,141 ms
188.114.97.246:854,0.00%,141 ms
188.114.97.246:894,0.00%,142 ms
188.114.97.176:894,0.00%,142 ms
188.114.97.238:854,0.00%,143 ms
188.114.97.250:894,0.00%,143 ms
188.114.97.229:854,0.00%,143 ms
188.114.97.153:1010,0.00%,143 ms
188.114.96.93:4233,0.00%,143 ms
188.114.96.9:1010,0.00%,143 ms
188.114.96.96:1010,0.00%,143 ms
188.114.97.240:854,0.00%,143 ms
188.114.96.9:4233,0.00%,144 ms
188.114.96.50:988,0.00%,145 ms
188.114.97.222:894,0.00%,145 ms
188.114.96.243:988,0.00%,146 ms
188.114.97.217:854,0.00%,146 ms
162.159.195.201:5279,0.00%,146 ms
188.114.97.103:4233,0.00%,147 ms
